#Dirchilet BC  (from first_case_MULTI_PHASE_FLOW_BC_ST.asc.bc file) 
#Total BC nodes  25
#Node index, name, x, y, z,   value: 
13  PRESSURE2 0.000000000000e+00 0.000000000000e+00 6.000000000000e+00 9.800000000000e+04
15  PRESSURE2 0.000000000000e+00 0.000000000000e+00 7.000000000000e+00 9.800000000000e+04
17  PRESSURE2 0.000000000000e+00 0.000000000000e+00 8.000000000000e+00 9.800000000000e+04
19  PRESSURE2 0.000000000000e+00 0.000000000000e+00 9.000000000000e+00 9.800000000000e+04
21  PRESSURE2 0.000000000000e+00 0.000000000000e+00 1.000000000000e+01 9.800000000000e+04
23  PRESSURE2 0.000000000000e+00 0.000000000000e+00 1.100000000000e+01 9.800000000000e+04
25  PRESSURE2 0.000000000000e+00 0.000000000000e+00 1.200000000000e+01 9.800000000000e+04
27  PRESSURE2 0.000000000000e+00 0.000000000000e+00 1.300000000000e+01 9.800000000000e+04
29  PRESSURE2 0.000000000000e+00 0.000000000000e+00 1.400000000000e+01 9.800000000000e+04
31  PRESSURE2 0.000000000000e+00 0.000000000000e+00 1.500000000000e+01 9.800000000000e+04
33  PRESSURE2 0.000000000000e+00 0.000000000000e+00 1.600000000000e+01 9.800000000000e+04
35  PRESSURE2 0.000000000000e+00 0.000000000000e+00 1.700000000000e+01 9.800000000000e+04
37  PRESSURE2 0.000000000000e+00 0.000000000000e+00 1.800000000000e+01 9.800000000000e+04
39  PRESSURE2 0.000000000000e+00 0.000000000000e+00 1.900000000000e+01 9.800000000000e+04
41  PRESSURE2 0.000000000000e+00 0.000000000000e+00 2.000000000000e+01 9.800000000000e+04
43  PRESSURE2 0.000000000000e+00 0.000000000000e+00 2.100000000000e+01 9.800000000000e+04
45  PRESSURE2 0.000000000000e+00 0.000000000000e+00 2.200000000000e+01 9.800000000000e+04
47  PRESSURE2 0.000000000000e+00 0.000000000000e+00 2.300000000000e+01 9.800000000000e+04
49  PRESSURE2 0.000000000000e+00 0.000000000000e+00 2.400000000000e+01 9.800000000000e+04
51  PRESSURE2 0.000000000000e+00 0.000000000000e+00 2.500000000000e+01 9.800000000000e+04
53  PRESSURE2 0.000000000000e+00 0.000000000000e+00 2.600000000000e+01 9.800000000000e+04
55  PRESSURE2 0.000000000000e+00 0.000000000000e+00 2.700000000000e+01 9.800000000000e+04
57  PRESSURE2 0.000000000000e+00 0.000000000000e+00 2.800000000000e+01 9.800000000000e+04
59  PRESSURE2 0.000000000000e+00 0.000000000000e+00 2.900000000000e+01 9.800000000000e+04
61  PRESSURE2 0.000000000000e+00 0.000000000000e+00 3.000000000000e+01 9.800000000000e+04
#STOP
