#Dirchilet BC  (from water_gas_MULTI_PHASE_FLOW_BC_ST.asc.bc file) 
#Total BC nodes  75
#Node index, name, x, y, z,   value: 
426  PRESSURE2 1.500000000000e+01 1.200000000000e+01 0.000000000000e+00 9.800000000000e+04
427  PRESSURE2 1.500000000000e+01 1.275000000000e+01 0.000000000000e+00 9.800000000000e+04
428  PRESSURE2 1.500000000000e+01 1.350000000000e+01 0.000000000000e+00 9.800000000000e+04
429  PRESSURE2 1.500000000000e+01 1.425000000000e+01 0.000000000000e+00 9.800000000000e+04
430  PRESSURE2 1.500000000000e+01 1.500000000000e+01 0.000000000000e+00 9.800000000000e+04
431  PRESSURE2 1.500000000000e+01 1.575000000000e+01 0.000000000000e+00 9.800000000000e+04
432  PRESSURE2 1.500000000000e+01 1.650000000000e+01 0.000000000000e+00 9.800000000000e+04
433  PRESSURE2 1.500000000000e+01 1.725000000000e+01 0.000000000000e+00 9.800000000000e+04
434  PRESSURE2 1.500000000000e+01 1.800000000000e+01 0.000000000000e+00 9.800000000000e+04
435  PRESSURE2 1.500000000000e+01 1.875000000000e+01 0.000000000000e+00 9.800000000000e+04
436  PRESSURE2 1.500000000000e+01 1.950000000000e+01 0.000000000000e+00 9.800000000000e+04
437  PRESSURE2 1.500000000000e+01 2.025000000000e+01 0.000000000000e+00 9.800000000000e+04
438  PRESSURE2 1.500000000000e+01 2.100000000000e+01 0.000000000000e+00 9.800000000000e+04
439  PRESSURE2 1.500000000000e+01 2.175000000000e+01 0.000000000000e+00 9.800000000000e+04
440  PRESSURE2 1.500000000000e+01 2.250000000000e+01 0.000000000000e+00 9.800000000000e+04
441  PRESSURE2 1.500000000000e+01 2.325000000000e+01 0.000000000000e+00 9.800000000000e+04
442  PRESSURE2 1.500000000000e+01 2.400000000000e+01 0.000000000000e+00 9.800000000000e+04
443  PRESSURE2 1.500000000000e+01 2.475000000000e+01 0.000000000000e+00 9.800000000000e+04
444  PRESSURE2 1.500000000000e+01 2.550000000000e+01 0.000000000000e+00 9.800000000000e+04
445  PRESSURE2 1.500000000000e+01 2.625000000000e+01 0.000000000000e+00 9.800000000000e+04
446  PRESSURE2 1.500000000000e+01 2.700000000000e+01 0.000000000000e+00 9.800000000000e+04
447  PRESSURE2 1.500000000000e+01 2.775000000000e+01 0.000000000000e+00 9.800000000000e+04
448  PRESSURE2 1.500000000000e+01 2.850000000000e+01 0.000000000000e+00 9.800000000000e+04
449  PRESSURE2 1.500000000000e+01 2.925000000000e+01 0.000000000000e+00 9.800000000000e+04
450  PRESSURE2 1.500000000000e+01 3.000000000000e+01 0.000000000000e+00 9.800000000000e+04
836  PRESSURE2 3.000000000000e+01 1.200000000000e+01 0.000000000000e+00 9.800000000000e+04
837  PRESSURE2 3.000000000000e+01 1.275000000000e+01 0.000000000000e+00 9.800000000000e+04
838  PRESSURE2 3.000000000000e+01 1.350000000000e+01 0.000000000000e+00 9.800000000000e+04
839  PRESSURE2 3.000000000000e+01 1.425000000000e+01 0.000000000000e+00 9.800000000000e+04
